Country Name,Region,GDP per capita,Population,CO2 emission,Area
Afghanistan,South Asia,561.7787463,34656032,9809.225,652860.0
Albania,Europe & Central Asia,4124.98239,2876101,5716.853,28750.0
Algeria,Middle East & North Africa,3916.881571,40606052,145400.217,2381740.0
American Samoa,East Asia & Pacific,11834.74523,55599,165114.1163365854,200.0
Andorra,Europe & Central Asia,36988.62203,77281,462.042,470.0
Angola,Sub-Saharan Africa,3308.700233,28813463,34763.16,1246700.0
Antigua and Barbuda,Latin America & Caribbean,14462.17628,100963,531.715,440.0
Argentina,Latin America & Caribbean,12440.32098,43847430,204024.546,2780400.0
Armenia,Europe & Central Asia,3614.688357,2924816,5529.836,29740.0
Aruba,Latin America & Caribbean,13445.593416057367,104822,872.746,180.0
Australia,East Asia & Pacific,49755.31548,24127159,361261.839,7741220.0
Austria,Europe & Central Asia,44757.6349,8747358,58712.337,83879.0
Azerbaijan,Europe & Central Asia,3878.709257,9762274,37487.741,86600.0
Bahamas,Latin America & Caribbean,28785.47767,391232,2416.553,13880.0
Bahrain,Middle East & North Africa,22579.09342,1425171,31338.182,771.0
Bangladesh,South Asia,1358.779029,162951560,73189.653,147630.0
Barbados,Latin America & Caribbean,15891.62655,284996,1272.449,430.0
Belarus,Europe & Central Asia,4989.427763,9507120,63497.772,207600.0
Belgium,Europe & Central Asia,41271.48215,11348159,93350.819,30530.0
Belize,Latin America & Caribbean,4744.736397,366954,495.045,22970.0
Benin,Sub-Saharan Africa,789.4404107,10872298,6318.241,114760.0
Bermuda,North America,13445.593416057367,65331,575.719,50.0
Bhutan,South Asia,2773.547135,797765,1001.091,38394.0
Bolivia,Latin America & Caribbean,3104.956089,10887882,20410.522,1098580.0
Bosnia and Herzegovina,Europe & Central Asia,4808.405425,3516816,22233.021,51210.0
Botswana,Sub-Saharan Africa,6924.149775,2250260,7033.306,581730.0
Brazil,Latin America & Caribbean,8649.948492,207652865,529808.16,8515770.0
British Virgin Islands,Latin America & Caribbean,13445.593416057367,30661,179.683,150.0
Brunei Darussalam,East Asia & Pacific,26939.41751,423196,9108.828,5770.0
Bulgaria,Europe & Central Asia,7469.025247,7127822,42416.189,111000.0
Burkina Faso,Sub-Saharan Africa,627.1030788,18646433,2849.259,274220.0
Burundi,Sub-Saharan Africa,285.7274421,10524117,440.04,27830.0
Cabo Verde,Sub-Saharan Africa,2997.75268,539560,491.378,4030.0
Cambodia,East Asia & Pacific,1269.907238,15762370,6684.941,181040.0
Cameroon,Sub-Saharan Africa,1374.514172,23439189,7003.97,475440.0
Canada,North America,42183.2951,36286425,537193.498,9984670.0
Cayman Islands,Latin America & Caribbean,13445.593416057367,60765,542.716,264.0
Central African Republic,Sub-Saharan Africa,382.2131743,4594621,300.694,622980.0
Chad,Sub-Saharan Africa,664.2956519,14452543,729.733,1284000.0
Channel Islands,Europe & Central Asia,13445.593416057367,164541,165114.1163365854,190.0
Chile,Latin America & Caribbean,13792.92605,17909754,82562.505,756096.0
China,East Asia & Pacific,8123.180873,1378665000,10291926.88,9562911.0
Colombia,Latin America & Caribbean,5805.605385,48653419,84091.644,1141749.0
Comoros,Sub-Saharan Africa,775.0800846,795601,154.014,1861.0
Democratic Republic of the Congo,Sub-Saharan Africa,405.5425009,78736153,4671.758,2344860.0
Republic of the Congo,Sub-Saharan Africa,1528.24472,5125821,3094.948,342000.0
Costa Rica,Latin America & Caribbean,11824.6381,4857274,7759.372,51100.0
Cote d,Sub-Saharan Africa,1534.973724,23695919,11045.004,322460.0
Croatia,Europe & Central Asia,12149.18958,4170600,16842.531,56590.0
Cuba,Latin America & Caribbean,13445.593416057367,11475982,34836.5,109880.0
Curacao,Latin America & Caribbean,13445.593416057367,159999,5881.868,444.0
Cyprus,Europe & Central Asia,23541.48825,1170125,6061.551,9250.0
Czech Republic,Europe & Central Asia,18483.71648,10561633,96475.103,78870.0
Denmark,Europe & Central Asia,53578.75657,5731118,33498.045,42922.0
Djibouti,Middle East & North Africa,13445.593416057367,942333,722.399,23200.0
Dominica,Latin America & Caribbean,7906.721671,73543,135.679,750.0
Dominican Republic,Latin America & Caribbean,6722.223536,10648791,21539.958,48670.0
Ecuador,Latin America & Caribbean,6018.526868,16385068,43919.659,256370.0
Egypt,Middle East & North Africa,3477.851743,95688681,201894.019,1001450.0
El Salvador,Latin America & Caribbean,4223.584579,6344722,6285.238,21040.0
Equatorial Guinea,Sub-Saharan Africa,8747.353473,1221490,5346.486,28050.0
Eritrea,Sub-Saharan Africa,13445.593416057367,34322559,696.73,117600.0
Estonia,Europe & Central Asia,17736.8027,1316481,19519.441,45230.0
Ethiopia,Sub-Saharan Africa,706.7574751,102403196,11598.721,1104300.0
Faroe Islands,Europe & Central Asia,13445.593416057367,49117,597.721,1396.0
Fiji,East Asia & Pacific,5233.469423,898760,1169.773,18270.0
Finland,Europe & Central Asia,43401.22834,5495096,47300.633,338420.0
France,Europe & Central Asia,36857.11923,66896109,303275.568,549087.0
French Polynesia,East Asia & Pacific,13445.593416057367,280208,803.073,4000.0
Gabon,Sub-Saharan Africa,7179.340661,1979786,5192.472,267670.0
Gambia,Sub-Saharan Africa,473.1904366,2038501,513.38,11300.0
Georgia,Europe & Central Asia,3865.785693,3719300,8987.817,69700.0
Germany,Europe & Central Asia,42161.31966,82667685,719883.438,357380.0
Ghana,Sub-Saharan Africa,1513.461034,28206728,14466.315,238540.0
Gibraltar,Europe & Central Asia,13445.593416057367,34408,528.048,10.0
Greece,Europe & Central Asia,17890.57494,10746740,67318.786,131960.0
Greenland,Europe & Central Asia,13445.593416057367,56186,506.046,410450.0
Grenada,Latin America & Caribbean,9841.76405,107317,242.022,340.0
Guam,East Asia & Pacific,35562.56753,162896,165114.1163365854,540.0
Guatemala,Latin America & Caribbean,4146.744129,16582469,18327.666,108890.0
Guinea,Sub-Saharan Africa,661.5277734,12395924,2449.556,245860.0
Guinea,Sub-Saharan Africa,641.5959647,1815698,271.358,36130.0
Guyana,Latin America & Caribbean,4529.139412,773303,2009.516,214970.0
Haiti,Latin America & Caribbean,739.5954363,10847334,2860.26,27750.0
Honduras,Latin America & Caribbean,2361.160205,9112867,9471.861,112490.0
Hong Kong SAR,East Asia & Pacific,43740.99288,7346700,46222.535,1105.0
Hungary,Europe & Central Asia,12820.0882,9817958,42086.159,93030.0
Iceland,Europe & Central Asia,59764.70538,334252,1983.847,103000.0
India,South Asia,1709.591808,1324171354,2238377.137,3287259.0
Indonesia,East Asia & Pacific,3570.294888,261115456,464176.194,1910931.0
Iran,Middle East & North Africa,5219.109408,80277428,649480.705,1745150.0
Iraq,Middle East & North Africa,4609.600694,37202572,168443.645,435050.0
Ireland,Europe & Central Asia,64175.43824,4773095,34066.43,70280.0
Isle of Man,Europe & Central Asia,13445.593416057367,83737,165114.1163365854,570.0
Israel,Middle East & North Africa,37180.52711,8547100,64601.539,22070.0
Italy,Europe & Central Asia,30661.22181,60600590,320411.459,301340.0
Jamaica,Latin America & Caribbean,4878.575791,2881355,7422.008,10990.0
Japan,East Asia & Pacific,38900.56931,126994511,1214048.358,377962.0
Jordan,Middle East & North Africa,4087.937517,9455802,26450.071,89320.0
Kazakhstan,Europe & Central Asia,7714.693568,17797032,248314.572,2724902.0
Kenya,Sub-Saharan Africa,1455.359765,48461567,14286.632,580370.0
Kiribati,East Asia & Pacific,1587.057869,114395,62.339,810.0
Korea,East Asia & Pacific,13445.593416057367,25368620,40527.684,120540.0
Korea,East Asia & Pacific,27538.80613,51245707,587156.373,100280.0
Kosovo,Europe & Central Asia,3661.429847,1816200,165114.1163365854,10887.0
Kuwait,Middle East & North Africa,27359.23033,4052584,95408.006,17820.0
Kyrgyz Republic,Europe & Central Asia,1077.603082,6082700,9607.54,199949.0
Lao PDR,East Asia & Pacific,2338.692157,6758353,1954.511,236800.0
Latvia,Europe & Central Asia,14071.02723,1960424,6974.634,64490.0
Lebanon,Middle East & North Africa,8257.294391,6006668,24070.188,10450.0
Lesotho,Sub-Saharan Africa,1039.704072,2203821,2467.891,30360.0
Liberia,Sub-Saharan Africa,455.3707414,4613823,935.085,111370.0
Libya,Middle East & North Africa,13445.593416057367,6293253,56996.181,1759540.0
Liechtenstein,Europe & Central Asia,13445.593416057367,37666,44.004,160.0
Lithuania,Europe & Central Asia,14900.7789,2872298,12838.167,65286.0
Luxembourg,Europe & Central Asia,100738.6842,582972,9658.878,2590.0
Macao SAR,East Asia & Pacific,74017.18471,612167,1283.45,30.3
Macedonia,Europe & Central Asia,5237.14767,2081206,7510.016,25710.0
Madagascar,Sub-Saharan Africa,401.7422696,24894551,3076.613,587295.0
Malawi,Sub-Saharan Africa,300.3076651,18091575,1276.116,118480.0
Malaysia,East Asia & Pacific,9508.23775,31187265,242821.406,330800.0
Maldives,South Asia,9875.278428,417492,1334.788,300.0
Mali,Sub-Saharan Africa,779.9448438,17994837,1411.795,1240190.0
Malta,Middle East & North Africa,25145.39315,436947,2346.88,320.0
Marshall Islands,East Asia & Pacific,3665.207477,53066,102.676,180.0
Mauritania,Sub-Saharan Africa,1101.901627,4301018,2709.913,1030700.0
Mauritius,Sub-Saharan Africa,9630.944028,1263473,4228.051,2040.0
Mexico,Latin America & Caribbean,8208.555984,127540423,480270.657,1964380.0
Micronesia,East Asia & Pacific,3143.749107,104937,150.347,700.0
Moldova,Europe & Central Asia,1900.226088,3552000,4932.115,33850.0
Monaco,Europe & Central Asia,13445.593416057367,38499,165114.1163365854,2.0
Mongolia,East Asia & Pacific,3694.082552,3027398,20839.561,1564120.0
Montenegro,Europe & Central Asia,7028.934799,622781,2211.201,13810.0
Morocco,Middle East & North Africa,2892.775561,35276786,59863.775,446550.0
Mozambique,Sub-Saharan Africa,382.0693304,28829476,8426.766,799380.0
Myanmar,East Asia & Pacific,1195.515372,52885223,21631.633,676590.0
Namibia,Sub-Saharan Africa,4414.978947,2479713,3755.008,824290.0
Nauru,East Asia & Pacific,7821.298918,13049,47.671,20.0
Nepal,South Asia,729.1222515,28982771,8030.73,147180.0
Netherlands,Europe & Central Asia,45637.88675,17018408,167303.208,41540.0
New Caledonia,East Asia & Pacific,13445.593416057367,278000,4290.39,18580.0
New Zealand,East Asia & Pacific,39412.15943,4692700,34664.151,267710.0
Nicaragua,Latin America & Caribbean,2151.382047,6149928,4862.442,130370.0
Niger,Sub-Saharan Africa,13445.593416057367,20672987,2126.86,1267000.0
