"region","city","pay","Lat","Lon"
"Вінницька","Вінниця",8333,49.15,28.41
"Волинська","Луцьк",7711,50.49,25.26
"Дніпропетровська","Дніпро",9407,48.31,35.08
"Донецька","Донецьк",10512,48.03,37.47
"Житомирська","Житомир",7625,50.18,28.49
"Закарпатська","Ужгород",8312,48.40,22.30
"Запорізька","Запоріжжя",9273,47.53,35.23
"Івано-Франківська","Івано-Франківськ",8037,48.56,24.53
"Київська","Київ",24325,50.27,30.30
"Кіровоградська","Кіровоград",7415,48.31,32.21
"Луганська","Луганськ",7797,48.36,39.22
"Львівська","Львів",8368,49.53,24.16
"Миколаївська","Миколаїв",8702,46.58,32.12
"Одеська","Одеса",8350,46.29,30.44
"Полтавська","Полтава",8823,49.37,34.37
"Рівненська","Рівне",7822,50.39,26.26
"Сумська","Суми",7819,50.58,34.52
"Тернопільська","Тернопіль",7347,49.37,25.47
"Харківська","Харків",8229,50.02,36.14
"Херсонська","Херсон",7292,46.40,32.42
"Хмельницька","Хмельницький",7604,49.26,27.06
"Черкаська","Черкаси",7800,49.27,32.03
"Чернівецька","Чернівці",7186,48.16,26.06
"Чернігівська","Чернігів",7288,51.29,31.22

